                  hetero_est  error_est
KBDC-B27_sub001     0.032470   0.006654
KBDC-B28_sub001     0.037331   0.005313
KBDC-B29_sub001     0.032373   0.005578
KBDC-B30_sub001     0.026788   0.005459
KBDC-B31_sub001     0.028945   0.005753
KJGB-B705_sub001    0.031329   0.007840
KJGB-B706_sub001    0.035553   0.005943
KJGB-B707_sub001    0.035591   0.007048
KJGB-B708_sub001    0.035906   0.006667
KJGB-B709_sub001    0.034069   0.006501
KWGA-B202_sub001    0.038176   0.005566
KWGA-B203_sub001    0.037355   0.005841
KWGA-B204_sub001    0.030969   0.005815
KWGA-B206_sub001    0.023526   0.006482
KWGA-B207_sub001    0.030250   0.006112
OIV-B126_sub001     0.026524   0.005548
OIV-B127_sub001     0.028971   0.004938
OIV-B128_sub001     0.030606   0.006068
OIV-B129_sub001     0.021817   0.005612
OIV-B12_sub001      0.031496   0.007889
