                  hetero_est  error_est
KBDC-B27_sub001     0.017251   0.004482
KBDC-B28_sub001     0.020029   0.004723
KBDC-B29_sub001     0.016862   0.006017
KBDC-B30_sub001     0.016232   0.006093
KBDC-B31_sub001     0.012308   0.004895
KJGB-B705_sub001    0.017357   0.004460
KJGB-B706_sub001    0.023574   0.005273
KJGB-B707_sub001    0.020577   0.005456
KJGB-B708_sub001    0.018693   0.005282
KJGB-B709_sub001    0.021015   0.005954
KWGA-B202_sub001    0.018884   0.005662
KWGA-B203_sub001    0.018787   0.006680
KWGA-B204_sub001    0.020067   0.004702
KWGA-B206_sub001    0.023194   0.007367
KWGA-B207_sub001    0.020067   0.004552
OIV-B126_sub001     0.013822   0.004515
OIV-B127_sub001     0.013002   0.004522
OIV-B128_sub001     0.018192   0.004807
OIV-B129_sub001     0.016923   0.007306
OIV-B12_sub001      0.016787   0.005179
