                  reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
KBDC-B27_sub001       33485                   1369                   1293                   9732                  13097                     3                        34                33448
KBDC-B28_sub001       32716                   1374                   1202                   9761                  12270                     1                        26                32689
KBDC-B29_sub001       34438                   1410                   1288                  10429                  12673                     3                        39                34396
KBDC-B30_sub001       33514                   1164                   1173                  10623                  12361                     5                        25                33484
KBDC-B31_sub001       45638                   1658                   1482                  12458                  17275                    11                        37                45590
KJGB-B705_sub001      26488                   1121                   1082                   6835                  10001                     4                        32                26452
KJGB-B706_sub001      27266                   1106                   1099                   7586                  10527                     4                        23                27239
KJGB-B707_sub001      29557                   1203                   1194                   7614                  10034                     7                        19                29531
KJGB-B708_sub001      27779                   1091                   1053                   8609                  10282                     7                        33                27739
KJGB-B709_sub001      21123                    890                    856                   6320                   7088                     2                        12                21109
KWGA-B202_sub001      31538                   1355                   1370                   9251                  11521                     0                        22                31516
KWGA-B203_sub001      27132                   1255                   1260                   8359                  10028                     0                        21                27111
KWGA-B204_sub001      18403                    923                    838                   5297                   7059                     3                        15                18385
KWGA-B206_sub001      22965                   1059                   1042                   7050                   8268                     0                        21                22944
KWGA-B207_sub001      22708                   1007                    880                   6988                   8150                     6                        24                22678
OIV-B126_sub001       49388                   1879                   1822                  12446                  18108                     9                        36                49343
OIV-B127_sub001       49698                   2481                   2195                  13732                  18389                     6                        54                49638
OIV-B128_sub001       36551                   1480                   1401                  11430                  13105                    11                        33                36507
OIV-B129_sub001       27217                   1080                   1048                   8110                  10801                     1                        23                27193
OIV-B12_sub001        25261                   1244                   1129                   6587                   7683                     4                        20                25237
