     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
U03      37500                   1515                    851                   6826                 105668                     0                       427                37073
U04      37500                   1649                    889                   8357                 115236                     0                       460                37040
U05      37500                   1419                    831                   6975                 102394                     0                       399                37101
U19      37500                   1596                    843                   8995                  87001                     0                       324                37176
U20      37500                   1723                    828                   8798                  93216                     0                       358                37142
U21      37500                   1366                    836                   8556                  87858                     0                       315                37185
U23      37500                   1612                    835                   6983                  97489                     0                       352                37148
U24      37500                   1729                    885                   9037                 101776                     0                       358                37142
U25      37500                   1451                    855                   8632                 117176                     0                       450                37050
U41      37500                   2744                   1014                   8205                  63413                     0                       207                37293
U42      37500                   2674                    932                   7453                  69472                     0                       241                37259
U43      37500                   2413                    938                   8966                  78060                     0                       288                37212
