     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
U03      37500                      0                      0                      0                      0                     0                         0                37500
U04      37500                      0                      0                      0                      0                     0                         0                37500
U05      37500                      0                      0                      0                      0                     0                         0                37500
U19      37500                      0                      0                      0                      0                     0                         0                37500
U20      37500                      0                      0                      0                      0                     0                         0                37500
U21      37500                      0                      0                      0                      0                     0                         0                37500
U23      37500                      0                      0                      0                      0                     0                         0                37500
U24      37500                      0                      0                      0                      0                     0                         0                37500
U25      37500                      0                      0                      0                      0                     0                         0                37500
U41      37500                      0                      0                      0                      0                     0                         0                37500
U42      37500                      0                      0                      0                      0                     0                         0                37500
U43      37500                      0                      0                      0                      0                     0                         0                37500
